,Provider,ProviderSegment,0
539,AdAdvisor Audiences by Neustar,"Auto Insurance Value: $200,000-$299,999",54
540,Bombora,Technology > Smartphone & Mobile,54
541,LiveRamp Data Marketplace,Engineering/STEM Professionals: Research & Scientific,54
542,AdAdvisor Audiences by Neustar,Have Auto Insurance From State Farm,54
543,Webbula,Domestic Traveling Enthusiast,54
544,Experian Standard,"$2,500+",54
545,Datonics,Electronics and Gadgets Power Buyer,54
546,Oracle Data Marketplace,Reality TV,54
547,Oracle Data Marketplace,Small Business Insurance,54
548,D&B,B2B Industry > Finance and Insurance > Credit Unions,54
549,Experian Standard,$500-$999,54
550,Zipline (i-Behavior),Farmers Insurance Group Auto,54
551,Webbula,Large (1001-5000 Employees),54
552,Zipline (i-Behavior),Progressive Auto Insurance,54
553,Zipline (i-Behavior),Allstate Auto Insurance,54
554,AdAdvisor Audiences by Neustar,Foreign Travel-Any Trip-Airline Last 3 Years: Us Based,53
555,AdAdvisor Audiences by Neustar,Foreign Travel-Last Trip-Airline Last 3 Years: Us Based,53
556,AdAdvisor Audiences by Neustar,Foreign Travel-Any Trip-Airline Last 3 Years: Delta,53
557,Experian Standard,Electron/Gadget,53
558,D&B,Managers,53
559,Datonics,High Frequency Foreign Vacationer,53
560,Zipline (i-Behavior),Qualify for Cost Sharing/Tax Credits,53
561,Oracle Data Marketplace,Seeks Healthy Fast Food,53
562,Oracle Data Marketplace,Frequent Foreign Vacation,53
563,LiveRamp Data Marketplace,Education Decision Makers,53
564,Datonics,Home Improvement and Safety Power Buyer,52
565,Oracle Data Marketplace,Sedan,52
566,Datonics,True Value Hardware,52
567,Experian Standard,Small Mid-Size SUV,52
568,Who2 by NetWise,"Finance - Finance C-Level,VPs and Directors",52
569,Oracle Data Marketplace,Sherwin-Williams,52
570,Datonics,Home Depot,52
571,Experian Standard,Compact or Subcompact Car,52
572,Experian Standard,Compact Car,52
573,Experian Standard,Mini Cooper Countryman,52
574,Datonics,Alcohol,52
575,D&B,Engineering,52
576,D&B,CEO (Chief Executive Officer),52
577,Experian Standard,Compact Cars,52
578,Datonics,Ace Hardware,52
579,Experian Standard,Compact or Subcompact Cars,52
580,LiveRamp Data Marketplace,A: Micro Employee Size (1-20),52
581,Bombora,Sports Fans > Soccer,52
582,LiveRamp Data Marketplace,C: Very Small Employee Size (1-50),52
583,Webbula,Medium-Large (501-1000 Employees),52
584,Datonics,Lowes,52
585,Oracle Data Marketplace,Dieting & Weight Loss,52
586,AdAdvisor Audiences by Neustar,Cruise Line Used Last 3 Years: Carnival,52
587,AdAdvisor Audiences by Neustar,Shop Lowe's Last 3M,52
588,AdAdvisor Audiences by Neustar,Shop Home Depot Last 3M,52
589,Oracle Data Marketplace,Low Fat Dieters,52
590,Oracle Data Marketplace,Colleges and Universities,52
591,AdAdvisor Audiences by Neustar,HH Owns Black & Decker Brand Workshop Equipment,52
592,AdAdvisor Audiences by Neustar,HH Owns Workshop Equipment,52
593,Oracle Data Marketplace,Graduate School,52
594,Oracle Data Marketplace,Low Sugar Diet,52
595,AdAdvisor Audiences by Neustar,I Make Sure I Exercise Regularly,51
596,AdAdvisor Audiences by Neustar,Fitness Walk-Participate Every Chance I Get,51
597,AdAdvisor Audiences by Neustar,Uses Banking/ Finance Apps on Smartphone,51
598,LiveRamp Data Marketplace,Engineering/STEM Professionals: Industrial & Mechanical,51
599,AdAdvisor Audiences by Neustar,Physical Fitness Program-Regular Participates Last 12 Months,51
600,Bombora,Technology > Gadgets & Wearables,51
601,Bombora,Sales,51
602,LiveRamp Data Marketplace,"10,000+ Employees",51
603,LiveRamp Data Marketplace,1000-4999 Employees,51
604,AdAdvisor Audiences by Neustar,Participate in Physical Fitness Program at Home,51
605,LiveRamp Data Marketplace,500-999 Employees,51
606,LiveRamp Data Marketplace,5000+ Employees,51
607,LiveRamp Data Marketplace,5000-9999 Employees,51
608,Who2 by NetWise,Finance,51
609,Datonics,Cruises,51
610,Oracle Data Marketplace,Plays Softball or Baseball (Scarborough),50
611,Zipline (i-Behavior),No Health Insurance,50
612,AdAdvisor Audiences by Neustar,Major Lg Baseball-Very Interested-Last 12M,50
613,Datonics,Baseball Fans,50
614,Who2 by NetWise,IT and Engineering Professsionals,50
615,Oracle Data Marketplace,Public Safety and Justice,50
616,D&B,B2B Job Function/Roles > Computing & IT > Information Technology,50
617,Webbula,Cruise Traveling Enthusiast,50
618,D&B,B2B Industry > Educational Services > Colleges and Universities,50
619,Who2 by NetWise,Engineering,50
620,LiveRamp Data Marketplace,D: Small Employee Size (51-100),50
621,LiveRamp Data Marketplace,B: Micro+ Employee Size (21-50),50
622,Experian Standard,Baseball (FLA / Fair Lending Friendly),50
623,comScore,American Football Fans,50
624,Oracle Data Marketplace,Attends MLB Game (Scarborough),50
625,Experian Standard,Health Or Lowfat Cooking (FLA / Fair Lending Friendly),50
626,Oracle Data Marketplace,Chief Marketing Officers (CMO),50
627,AdAdvisor Audiences by Neustar,Attend MLB Baseball Regular Season,50
628,D&B,Education�Decision Makers,49
629,Who2 by NetWise,Operations  & Manufacturing,49
630,D&B,Creative,49
631,Zipline (i-Behavior),US Foreign Direct Investment,49
632,Zipline (i-Behavior),US International Contribution,49
633,AdAdvisor Audiences by Neustar,HH Plans Remodel Bathroom Next 12M,49
634,Zipline (i-Behavior),Exercise,49
635,Oracle Data Marketplace,Plan to Remodel,49
636,Who2 by NetWise,Operations  & Manufacturing - Purchasing & Procurement,49
637,AdAdvisor Audiences by Neustar,HH Plans Other Remodeling Next 12M,49
638,Experian Standard,"Disciplined, Passive Borrower, Below Average Mortgage Balance",49
639,D&B,B2B Seniority > Management > Director,49
640,AdAdvisor Audiences by Neustar,Eats Various Healthy Food,49
641,D&B,Operations,49
642,Zipline (i-Behavior),Sports - MLB,49
643,D&B,B2B Seniority > Management > Senior Management,49
644,Oracle Data Marketplace,Healthy Eating,49
645,Oracle Data Marketplace,SUV's,49
646,Bombora,Business Professional,49
647,Bombora,Education > Management & Administrators,48
648,AdAdvisor Audiences by Neustar,Domestic Travel For Business Last 12M: Any Marriott,48
649,D&B,Financial Analyst,48
650,Oracle Data Marketplace,Last Business Trip - Paid Company Trip,48
651,Datonics,High Frequency Business Traveler,48
652,Oracle Data Marketplace,Diet,48
653,Zipline (i-Behavior),Cruise Ship Lovers,48
654,Experian Standard,Traveled for Business in last 12 months,48
655,Acxiom - International,Sedan,48
656,AdAdvisor Audiences by Neustar,Domestic Travel For Business Last 12M: Any Hilton,48
657,Oracle Data Marketplace,Business,48
658,D&B,B2B Company Size > Micro: 1 - 4 Employees,48
659,D&B,B2B Seniority > C-suite/C-Level,48
660,AdAdvisor Audiences by Neustar,Languages Spoken in Home: Mostly Spanish But Some English,48
661,AdAdvisor Audiences by Neustar,Languages Spoken in Home: Mostly English But Some Spanish,48
662,D&B,B2B Seniority > Management > Vice President/VP,48
663,Zipline (i-Behavior),American Family Auto Insurance,48
664,Oracle Data Marketplace,NHL Stanley Cup Finals,48
665,AdAdvisor Audiences by Neustar,Domestic Travel For Business Last 12M: Marriott,48
666,Datonics,Store Credit Card Users,48
667,LiveRamp Data Marketplace,Business Decision Maker (Manager Plus),47
668,Bombora,Government > Employees,47
669,LiveRamp Data Marketplace,"Executive Staff - SVP, EVP, C-Level",47
670,Lotame,IT Professionals,47
671,Experian Standard,Fitness Mothers,47
672,D&B,General Operations,47
673,LiveRamp Data Marketplace,Hardcore Gamers,47
674,Experian Standard,Fitness Enthusiast,47
675,LiveRamp Data Marketplace,Executive Level Board Members,46
676,LiveRamp Data Marketplace,Marketing Executives,46
677,Datonics,High Price Jewelry and Accessories,46
678,LiveRamp Data Marketplace,Events,46
679,AdAdvisor Audiences by Neustar,Budget Jewelry/Luxury Goods Shopper,46
680,LiveRamp Data Marketplace,Marketing Managers,46
681,LiveRamp Data Marketplace,Owner Or Partner,46
682,D&B,B2B Company Size > Small: 31 - 50 Employees,46
683,D&B,B2B Company Size > Small: 21 - 30 Employees,46
684,D&B,B2B Company Size > Small: 11 - 20 Employees,46
685,D&B,B2B Company Size > Micro: 5 - 10 Employees,46
686,Oracle Data Marketplace,Internet Service Providers,46
687,LiveRamp Data Marketplace,VP Plus,46
688,Oracle Data Marketplace,Plays Basketball (Scarborough),46
689,Datonics,High Price Jewelry and Accessories Purchase - $$,46
690,LiveRamp Data Marketplace,Sales Executives,46
691,LiveRamp Data Marketplace,Sales Managers,46
692,Datonics,Retirement / 401K,46
693,LiveRamp Data Marketplace,Business Owner,46
694,LiveRamp Data Marketplace,Marketing Decision Makers,46
695,Datonics,High Price Jewelry and Accessories Purchase - $$$,46
696,LiveRamp Data Marketplace,Sales Decision Makers,46
697,LiveRamp Data Marketplace,Sales and Marketing Decision Makers,46
698,AdAdvisor Audiences by Neustar,Mid-Priced Jewelry/Luxury Goods Shopper,46
699,LiveRamp Data Marketplace,Senior Management,46
700,AdAdvisor Audiences by Neustar,Visited WebSite:Any Jewelry/Luxury Goods/Accessories Last 3M,46
701,Oracle Data Marketplace,Jewelry & Watches: High Spenders,46
702,Oracle Data Marketplace,Smart Home,46
703,Oracle Data Marketplace,Gadgets and Tech Toys,46
704,Datonics,High Price Jewelry and Accessories Purchase - $,46
705,AdAdvisor Audiences by Neustar,Luxury Jewelry/Luxury Goods Shopper,46
706,Datonics,High Price Jewelry and Accessories Power Buyer,46
707,Webbula,1 Line of Credit,45
708,LiveRamp Data Marketplace,Middle-Management,45
709,LiveRamp Data Marketplace,Employees 50000-100000,45
710,AdAdvisor Audiences by Neustar,Shop Ace Hardware Last 3M,45
711,Webbula,Dieting and Weight Loss,45
712,Oracle Data Marketplace,Apple iPhone,45
713,Oracle Data Marketplace,Data Center,45
714,Oracle Data Marketplace,Attends PGA Tour Tournament (Scarborough),45
715,AdAdvisor Audiences by Neustar,PGA-Very Interested-Last 12M,45
716,Datonics,Golf Fans,45
717,Datonics,Credit Cards,45
718,Bombora,Sports Fans > Baseball,45
719,Datonics,Plays Golf,45
720,Oracle Data Marketplace,Plays Golf (Scarborough),45
721,LiveRamp Data Marketplace,Engineering/STEM Professionals: Electrical,45
722,LiveRamp Data Marketplace,Customer Service,44
723,Oracle Data Marketplace,Ages 30-34,44
724,Oracle Data Marketplace,Domestic,44
725,Oracle Data Marketplace,Bathroom Remodels,44
726,Oracle Data Marketplace,Reality & Game Shows,44
727,Oracle Data Marketplace,Ages 25-29,44
728,Oracle Data Marketplace,Kitchen Remodels,44
729,Oracle Data Marketplace,Active Credit Card Users,44
730,AdAdvisor Audiences by Neustar,Foreign Travel-Any Trip-Airline Last 3 Years: United,44
731,Datonics,Business Travelers,44
732,Bombora,English,44
733,Experian Standard,Life Insurance Policy Holders - Expanded,43
734,Oracle Data Marketplace,Fitness & exercise,43
735,AdAdvisor Audiences by Neustar,Have Auto Insurance From GEICO,43
736,AdAdvisor Audiences by Neustar,Banking/Investments: Have Savings Account(s),43
737,Experian Standard,Jewelry Making (FLA / Fair Lending Friendly),43
738,Oracle Data Marketplace,Luxury Travelers: High Spenders,43
739,AdAdvisor Audiences by Neustar,Banking/Investments: Have Non-Interest Bearing Check Account,43
740,Experian Standard,Invest: Retirement Plan - Expanded,43
741,comScore,Basketball Fans,43
742,Equifax / IXI,Executive Director,43
743,AdAdvisor Audiences by Neustar,Look For Organic/Natural in Health/Beauty Products,43
744,Equifax / IXI,Director,43
745,Oracle Data Marketplace,Luxury Travelers,43
746,LiveRamp Data Marketplace,Founder,43
747,Bombora,Marketing,43
748,Oracle Data Marketplace,Jewelry,43
749,Webbula,A+ Credit Rating,43
750,comScore,Womens Soccer Fans,43
751,Webbula,B+ Credit Rating,43
752,Oracle Data Marketplace,Sally Beauty Supply,43
753,Oracle Data Marketplace,Enterprise Applications,43
754,Equifax / IXI,Manager,43
755,Lotame,Marketing,43
756,Equifax / IXI,Vice President,43
757,Oracle Data Marketplace,"Laptops, Notebooks and Netbooks",43
758,Oracle Data Marketplace,Real Estate (Home and Commercial),43
759,AdAdvisor Audiences by Neustar,Cruise Line Used Last 3 Years: Royal Caribbean,42
760,Bombora,Outdoor Activities > Golfing,42
761,AdAdvisor Audiences by Neustar,Banking/Investments: Have Any Investments And Securities,42
762,AdAdvisor Audiences by Neustar,Banking/Investments: Have Interest Bearing Check Account,42
763,Oracle Data Marketplace,Mobile Banking,42
764,AdAdvisor Audiences by Neustar,SOHO 2- Real Estate Services,42
765,Datonics,Health Food,42
766,Bombora,Real Estate > Commercial,42
767,Oracle Data Marketplace,International Soccer (FIFA),42
768,D&B,Treasurer,42
769,Webbula,Luxury Car,42
770,Oracle Data Marketplace,Soccer,42
771,Bombora,Real Estate,42
772,Oracle Data Marketplace,Golf Courses,42
773,AdAdvisor Audiences by Neustar,Watch Network TV Primetime-Comedy,42
774,AdAdvisor Audiences by Neustar,SMALL 22- Real Estate Brokers,42
775,AdAdvisor Audiences by Neustar,MICRO 3- Real Estate Agents And Managers,42
776,D&B,Logistics,42
777,Acxiom,High School,42
778,Acxiom - International,Luxury,42
779,Webbula,International Traveling Enthusiast,42
780,Lotame,Sales and Marketing Decision Makers,42
781,AdAdvisor Audiences by Neustar,Real Estate,42
782,Oracle Data Marketplace,Attends ACC Football Game (Scarborough),41
783,Datonics,Frequent credit card users,41
784,Oracle Data Marketplace,Aetna Insured,41
785,Datonics,Retail Pets Buyers,41
786,Datonics,Facebook,41
787,Webbula,New Construction or Subdivision,41
788,Equifax / IXI,Managing Director,41
789,Oracle Data Marketplace,Humana Insured,41
790,Datonics,Instagram,41
791,Datonics,Social Media Applications,41
792,AdAdvisor Audiences by Neustar,Visit Nfl.com in the Last 30 Days,41
793,Experian Standard,On a Diet - Expanded,41
794,AdAdvisor Audiences by Neustar,Social Media/Ntwrkng Wbstes-Media Follwd:Sports/Athletes,41
795,Oracle Data Marketplace,True Value,41
796,Datonics,Pets Purchase - $$,41
797,Oracle Data Marketplace,Credit Card User,41
798,Webbula,Construction Loan,41
799,Datonics,Online Pets Buyers,41
800,Datonics,Pinterest,41
801,Experian Standard,Apple Mac Purchaser Model - Expanded,41
802,Experian Standard,Apple Ipod/Iphone Owner Model - Expanded,41
803,Zipline (i-Behavior),Took a cruise on Royal Caribbean,41
804,Zipline (i-Behavior),Real Estate,41
805,AdAdvisor Audiences by Neustar,HH Has at Least 1 Pet,41
806,Oracle Data Marketplace,Cigna Insured,41
807,Zipline (i-Behavior),Real Estate - Residential,41
808,Who2 by NetWise,"Media,Entertainment and Publishing",41
809,Oracle Data Marketplace,United Healthcare Insured (UHC),41
810,Oracle Data Marketplace,Blue Cross Blue Shield Insured,41
811,Zipline (i-Behavior),Football Fans (Updated),41
812,Oracle Data Marketplace,Frequent Business Travel,41
813,Oracle Data Marketplace,Exercise Regularly,41
814,Oracle Data Marketplace,PetSmart,41
815,Oracle Data Marketplace,Petco,41
816,Equifax / IXI,Large: 501 - 1000,40
817,Oracle Data Marketplace,Italy (incl. Rome),40
818,Oracle Data Marketplace,Healthy,40
819,Experian Standard,Plays Hockey - Expanded,40
820,Oracle Data Marketplace,International Flyers,40
821,Equifax / IXI,Large: 1001 - 2000,40
822,Oracle Data Marketplace,Compact - Coupe,40
823,Datonics,"Coupe, Sport, Convertible",40
824,Oracle Data Marketplace,Hockey/NHL Super Fan,40
825,Equifax / IXI,Large: More Than 2000,40
826,Oracle Data Marketplace,Ages 21-24,40
827,Oracle Data Marketplace,Cruise Vacations,40
828,Acxiom - International,College or Graduate Institution,40
829,Bombora,Board and Ownership,40
830,Oracle Data Marketplace,2 Door Coupe,40
831,Zipline (i-Behavior),Other Coupe,40
832,Acxiom - International,Life Insurance,40
833,Acxiom - International,Retirement Plan,40
834,Zipline (i-Behavior),Coupe-2dr,40
835,Zipline (i-Behavior),Coupe-3dr,40
836,Zipline (i-Behavior),Hyundai Genesis Coupe,40
837,Zipline (i-Behavior),Coupe-4dr,40
838,Acxiom - International,Bachelor Degree or Equivalent,39
839,Acxiom - International,Above Bachelor's Degree,39
840,Experian Standard,Watches Political TV-Liberal Comedy,39
841,Experian Standard,Weight Reformers,39
842,Acxiom - International,Bachelor's Degree,39
843,Experian Standard,Healthy Holistics,39
844,Oracle Data Marketplace,Diet Foods,39
845,Experian Standard,Image Shapers,39
846,Acxiom - International,Business Credit Card,39
847,Oracle Data Marketplace,Appliances,39
848,Acxiom - International,University Certificate Below Bachelor,39
849,Zipline (i-Behavior),Social Media,39
850,Experian Standard,Pet Enthusiast,39
851,Experian Standard,Invincibles',39
852,LiveRamp Data Marketplace,Finance Decision Maker,39
853,Experian Standard,Comedy Television Watchers,39
854,Oracle Data Marketplace,Networking & Infrastructure,39
855,Experian Standard,Trusting Patients,39
856,Oracle Data Marketplace,Information Technology,38
857,Oracle Data Marketplace,Systems Analysts,38
858,Equifax / IXI,Decision Makers,38
859,D&B,B2B Industry > Software/Information Technology > Packaged Software,38
860,Oracle Data Marketplace,Enterprise Architecture,38
861,Webbula,Resale,38
862,LiveRamp Data Marketplace,Engineering/STEM Professionals: Civil,38
863,D&B,B2B Industry > Software/Information Technology > Custom Software and Design,38
864,Webbula,B Credit Rating,38
865,Oracle Data Marketplace,Storage,38
866,Lotame,Sales and Marketing Professionals,38
867,Oracle Data Marketplace,Cooking,38
868,Oracle Data Marketplace,Info Tech Management & Strategy,38
869,Webbula,"$100,000 - $149,999",38
870,Datonics,"Home Equity of $60,000-$79,999",38
871,Oracle Data Marketplace,Cloud Computing,38
872,LiveRamp Data Marketplace,Marketing Communications,38
873,Webbula,1 - 100,38
874,Webbula,A Credit Rating,38
875,Oracle Data Marketplace,News & Information,38
876,Oracle Data Marketplace,Security,38
877,Datonics,High School Diploma,37
878,Oracle Data Marketplace,High School Diploma,37
879,Bombora,Age 55-64,37
880,AdAdvisor Audiences by Neustar,Head of HH Education: High School Graduate (or completed GED),37
881,Experian Standard,Mercedes-Benz GLE Coupe,37
882,Oracle Data Marketplace,Telecommuters and SOHO (Small Office/Home Office): High Spenders,37
883,Oracle Data Marketplace,Business Travelers,37
884,Webbula,Jewelry,37
885,Bombora,Age 45-54,37
886,Zipline (i-Behavior),High School Diploma,37
887,Oracle Data Marketplace,Heavy Social Media User,37
888,LiveRamp Data Marketplace,Chief Information Officer,37
889,Bombora,Age 35-44,37
890,Oracle Data Marketplace,Servers,37
891,LiveRamp Data Marketplace,Community Development,37
892,AdAdvisor Audiences by Neustar,"Auto Insurance Value: $300,000+",36
893,comScore,Baseball Fans,36
894,D&B,B2B Industry > Arts and Entertainment > Performance,36
895,Who2 by NetWise,Real Estate,36
896,AdAdvisor Audiences by Neustar,35-44 Male,36
897,Webbula,Wine,36
898,Acxiom - International,03: Luxury Sedan & SUV,36
899,Acxiom - International,06: Luxury,36
900,AdAdvisor Audiences by Neustar,35-44 Female,36
901,Bombora,High School Diploma or GED,36
902,Equifax / IXI,IT Decision Influencer,36
903,AdAdvisor Audiences by Neustar,45-54 Female,36
904,AdAdvisor Audiences by Neustar,45-54 Male,36
905,Zipline (i-Behavior),Bachelor's (4 yr) Degree,36
906,Acxiom - International,Luxury Car,36
907,Oracle Data Marketplace,Military,36
908,Bombora,Real Estate > Residential,36
909,AdAdvisor Audiences by Neustar,55-64 Female,36
910,AdAdvisor Audiences by Neustar,55-64 Male,36
911,Acxiom - International,09: Luxury Sedan & SUV,36
912,Datonics,High School,35
913,Acxiom,Combination Term and Whole Life Insurance Policy (Financial),35
914,Acxiom,Apple Pay power user,35
915,Lotame,Spain - Retirement Planning,35
916,Lotame,Germany - Life Insurance,35
917,Acxiom,Any Type of Retirement/College Savings Plan (Financial),35
918,AdAdvisor Audiences by Neustar,eSports Enthusiast,35
919,Lotame,United Kingdom - Life Insurance,35
920,Datonics,Pets Power Buyer,35
921,Equifax / IXI,Large: 251 - 500,35
922,Datonics,Pets Purchase - $,35
923,Acxiom,Credit Life Insurance Policy (Financial),35
924,Oracle Data Marketplace,Gamers,35
925,Lotame,Canada - Retirement Planning,35
926,Lotame,Canada - Life Insurance,35
927,Acxiom,Go Back to Work After Retirement,35
928,Lotame,Australia - Retirement Planning,35
929,Webbula,Home Office Computers and Gadgets,35
930,Lotame,United Kingdom - Retirement Planning,35
931,Equifax / IXI,Purchasing Agent,35
932,Equifax / IXI,Engineer,35
933,Webbula,Mini,35
934,Equifax / IXI,Finance Executive,35
935,Acxiom,Separate Term Life Insurance Policy (Financial),35
936,Lotame,Australia - Life Insurance,35
937,Zipline (i-Behavior),35-44 Yrs Old,35
938,Zipline (i-Behavior),55-64 Yrs Old,35
939,Acxiom,Total Retirement/College Savings Plans (Financial),35
940,Zipline (i-Behavior),45-54 Yrs Old,35
941,Acxiom,Separate Whole Life Insurance Policy (Financial),35
942,Acxiom,Universal Life Insurance Policy (Financial),35
943,Experian Standard,High School Diploma,35
944,Webbula,"Real Estate, Rental, and Leasing",34
945,Webbula,Real Estate,34
946,Oracle Data Marketplace,Orangetheory Fitness,34
947,Oracle Data Marketplace,Tax Preparation,34
948,Acxiom - International,Business,34
949,Oracle Data Marketplace,Tax Planning,34
950,Acxiom - International,Everyday Credit Card,34
951,Acxiom,Likely to Take a Cruise (Financial),34
952,Acxiom - International,Business Travellers,34
953,AdAdvisor Audiences by Neustar,Personal Tax Prep Last 12M-Turbo Tax(Offline),34
954,Acxiom,Football Spectator,34
955,LiveRamp Data Marketplace,Chief Technology Officer,34
956,comScore,HBO Comedy,34
957,AdAdvisor Audiences by Neustar,Play Video Games Connected to Internet,34
958,Acxiom,Atkins Diet,34
959,Webbula,General Beauty,34
960,AdAdvisor Audiences by Neustar,MICRO 29- Motion Picture And Entertainment,34
961,Equifax / IXI,Operations Executive,34
962,Acxiom,Vacation Cruise,34
963,Oracle Data Marketplace,Anytime Fitness,34
964,Acxiom,ING Direct Issue Credit Card (Financial),34
965,AdAdvisor Audiences by Neustar,Entertainment,34
966,Acxiom,Golf Player,34
967,Bombora,Finance Professional,34
968,Acxiom,Dieting / Weight Loss,34
969,Experian Standard,Very unlikely to refinance (FLA / Fair Lending Friendly),34
970,AdAdvisor Audiences by Neustar,Personal Tax Prep Last 12M-Turbo Tax (Online),34
971,Datonics,Tax Return - Self prepare user,34
972,Acxiom,Protection and Safety,34
973,Acxiom,Cruise Vacations,34
974,Zipline (i-Behavior),Business Services - Advertising and Marketing,34
975,Acxiom,Disney Cruise (Financial),34
976,Bombora,Creative,34
977,AdAdvisor Audiences by Neustar,Personal Tax Prep Last 12M-CPA/Private Accountant,34
978,Acxiom,Doctors Care/Diet,34
979,comScore,Comedy Central,34
980,Acxiom,South Beach Diet,34
981,D&B,B2B Industry > Business Services > Advertising/PR,34
982,AdAdvisor Audiences by Neustar,Personal Tax Prep Last 12M-Manually (Pen/Paper),34
983,Oracle Data Marketplace,Windows,34
984,Acxiom,TD Bank Issued Credit Card (Financial),34
985,Oracle Data Marketplace,Planet Fitness,34
986,Datonics,"Tax Shelter Model - Portfolio Value $100,000+401k, IRA, or Tax Shelter Annuity",34
987,Oracle Data Marketplace,Desktop,34
988,Oracle Data Marketplace,Investment Real Estate,34
989,AdAdvisor Audiences by Neustar,Personal Tax Prep Last 12M-Other Professional On-Site,34
990,comScore,Comedy,34
991,Datonics,Offline Tax Software User,34
992,Lotame,Finance Professionals,34
993,Datonics,Twitter,34
994,Oracle Data Marketplace,Taxes,34
995,Acxiom,Do-It-Yourselfers,33
996,Oracle Data Marketplace,Software Engineer,33
997,Oracle Data Marketplace,NBA Enthusiast,33
998,Equifax / IXI,Finance Decision Influencer,33
999,Equifax / IXI,Finance,33
1000,Oracle Data Marketplace,Video Games,33
1001,Equifax / IXI,Engineering Technical,33
1002,Experian Standard,Plays Soccer - Expanded,33
1003,Acxiom,Caulk/Glue/Adhesives,33
1004,D&B,VP,33
1005,Oracle Data Marketplace,Has Keogh Retirement Plan,33
1006,Oracle Data Marketplace,Smartphones,33
1007,Acxiom,Construction,33
1008,Acxiom,Construction Loan,33
1009,Datonics,"Furnishing, Houseware & Decorations",33
1010,Equifax / IXI,Medium: 101 - 250,33
1011,Acxiom,New Luxury Wagon,33
1012,Equifax / IXI,Operations,33
1013,Oracle Data Marketplace,Hospitality and Food Service,33
1014,Webbula,Finance,33
1015,D&B,CIO (Chief Information Officer),33
1016,AdAdvisor Audiences by Neustar,Visit Nba.com in the Last 30 Days,33
1017,AdAdvisor Audiences by Neustar,Visit Nba.com Lst 7D,33
1018,Acxiom,Home Improvement,33
1019,Equifax / IXI,Procurement,33
1020,Acxiom,New Japanese Luxury Vehicle Purchase,33
1021,Acxiom,New Luxury Convertible,33
1022,Experian Standard,Home Decorating (FLA / Fair Lending Friendly),33
1023,AdAdvisor Audiences by Neustar,Foreign Travel-Last Trip-Taken in 2015,33
1024,Acxiom - International,Luxury Cars,33
1025,LiveRamp Data Marketplace,Engineering/STEM Professionals: Chemical,33
1026,Experian Standard,Gardening (FLA / Fair Lending Friendly),33
1027,Bombora,Business Services > Advertising & Marketing,33
1028,Datonics,Family Vacations,32
1029,Oracle Data Marketplace,Small SUV,32
1030,LiveRamp Data Marketplace,Sales & Business Development,32
1031,LiveRamp Data Marketplace,Company Size - Medium (101 To 500 Employees),32
1032,AdAdvisor Audiences by Neustar,Major Lg Soccer-Very Interested-Last 12M,32
1033,Oracle Data Marketplace,Soccer Super Fan,32
1034,Webbula,Database,32
1035,LiveRamp Data Marketplace,Company Size - Large (1001 To 5000 Employees),32
1036,Datonics,Tax Return - Professional Service Prepare user,32
1037,Oracle Data Marketplace,"HHI: $75,000-$99,999",32
1038,Oracle Data Marketplace,High School Graduate,32
1039,Bombora,Hobbies and Interests > Video Games,32
1040,Oracle Data Marketplace,Full Size SUV,32
1041,D&B,Vice President/VP/SVP,32
1042,Oracle Data Marketplace,Baseball,32
1043,Oracle Data Marketplace,Performing Arts and Live Theater,32
1044,Oracle Data Marketplace,Family Vacation,32
1045,Oracle Data Marketplace,Beauty & Cosmetics,32
1046,Oracle Data Marketplace,France,32
1047,LiveRamp Data Marketplace,Company Size - Medium Large (501 To 1000 Employees),32
1048,Acxiom,3 to 5 Nights,31
1049,Acxiom,1 to 2 Nights,31
1050,Oracle Data Marketplace,Companies with Hardware Budgets,31
1051,Oracle Data Marketplace,Companies with IT Budgets,31
1052,Acxiom,Women's Fine Jewelry,31
1053,Experian Standard,Fitness Enthusiast - Expanded,31
1054,Acxiom,Domestic,31
1055,Acxiom,Delta Dental,31
1056,Acxiom,11 or More Nights,31
1057,Datonics,Garden,31
1058,LiveRamp Data Marketplace,C-Level,31
1059,Acxiom,Medical Insurance from an Agent Representing One Company,31
1060,Acxiom,Jewelry Set,31
1061,D&B,B2B Company Size > Medium: 101 - 250 Employees,31
1062,Oracle Data Marketplace,45-54%,31
1063,Acxiom,Fashion/Costume Jewelry,31
1064,Oracle Data Marketplace,Business Travelers: High Spenders,31
1065,Acxiom,6 to 10 Nights,31
1066,D&B,Accounting,31
1067,Acxiom,Jewelry - SC,31
1068,Oracle Data Marketplace,Personal Care,31
1069,D&B,Finance Professionals,31
1070,Acxiom - International,Jewelry,30
1071,Datonics,Online Tax Software User,30
1072,Datonics,Gaming & Video Games,30
1073,Oracle Data Marketplace,Infrastructure as a Service (IaaS),30
1074,Oracle Data Marketplace,Purina,30
1075,AdAdvisor Audiences by Neustar,Plays Sports Video Games Most,30
1076,Oracle Data Marketplace,Retirement Savings,30
1077,Oracle Data Marketplace,IT Governance,30
1078,Oracle Data Marketplace,Plays Single Player Video Games,30
1079,Acxiom,Luxury SUV,30
1080,Acxiom,New Hybrid SUV,30
1081,D&B,B2B Job Function/Roles > Computing & IT > Web Development & Management,30
1082,Oracle Data Marketplace,Plays Multiple Player Video Games,30
1083,D&B,B2B Job Function/Roles > Computing & IT > Support,30
