Browser,Visits,Unique Visitors,Revenue,Revenue / Visits,Total Orders,Occurrences
Mozilla Firefox 73.0,799,643,1299.99,1.627021277,1,9351
Safari 13.0.5,2972,2799,1299.97,0.437405787,1,6268
Mobile Safari 5.0,725,621,1279.98,1.765489655,2,9486
Opera GX 1.6,669,523,1249.99,1.868445441,1,2218
Safari 13.0.1,392,293,1243.64,3.17255102,2,2382
MIUI Browser 13.28,3392,2244,1228.97,0.362314269,5,10823
VivoBrowser 10.1,16280,15001,1216.79,0.0747414,3,34565
Chrome 99.109,532,328,1214.22,2.282368421,4,5096
Amazon Silk 104.2,6086,6046,1203.98,0.197827802,3,7470
Chromium 113.0,20,19,1183.92,59.196,4,315
Opera 74.0,718,470,1182.19,1.646504178,2,5597
Safari 14.7,175,152,1181.39,6.7508,3,893
Mozilla Firefox 68.0,67677,62447,1153.16,0.017039171,5,242143
Firefox 111.9,47,30,1140.3,24.26170213,1,625
Chrome 99.107,216,130,1129.98,5.231388889,1,1746
Safari 13.0.4,445,356,1099.99,2.47188764,2,2609
Chrome Mobile 64.0,10603,8586,1087.96,0.102608696,1,29823
Chrome 108.37,13,10,1067.97,82.15153846,1,227
Chrome Mobile 6.2,128,92,1043.95,8.155859375,1,809
MIUI Browser 13.20,538,288,1033.43,1.920873606,2,1920
Mozilla Firefox 62.0,830,708,1001.19,1.206253012,1,11995
Huawei Browser 11.1,2419,1835,987.47,0.408214138,2,16694
Google Chrome 56.0,3375,3067,980.57,0.290539259,1,23483
Mozilla Firefox 48.0,14448,13860,976.98,0.067620432,1,29481
Chrome Mobile 55.0,18481,14546,948.16,0.051304583,1,51433
VivoBrowser 9.9,7412,6636,946.35,0.12767809,2,21668
Android Browser,899,700,933.33,1.038186874,2,5568
Chrome Mobile 73.0,3671,2597,932.12,0.253914465,2,13477
Hi Browser 2.5,1682,831,915.39,0.544227111,1,2716
Chrome 108.39,140,78,899.99,6.4285,1,1559
SeaMonkey 2.49,131,98,899.99,6.870152672,1,1361
Chrome 108.40,53,27,899.99,16.9809434,1,377
Opera 66.0,107,82,890.06,8.318317757,1,1011
Google Chrome 58.0,3698,2866,887.99,0.240127096,1,33874
Edge 99.109,287,187,868.5,3.026132404,2,2616
Firefox 107.3,384,285,859,2.236979167,1,1561
Opera GX 1.7,486,348,849.99,1.748950617,1,1620
Safari 11.0.3,50,35,849.98,16.9996,1,2586
Chromium 80.0,31,26,849,27.38709677,1,180
Firefox 97,49,49,836.16,17.0644898,1,129
Firefox 103,83,82,833.37,10.04060241,3,314
Safari 15.700000,142,64,830.43,5.848098592,1,1019
MIUI Browser 13.13,344,171,808.05,2.348982558,2,1195
Aloha Browser 4.7,190,145,799.99,4.210473684,1,791
Safari 16.400000,257,156,781.13,3.039416342,2,1936
Firefox 112.5,22,17,763,34.68181818,1,477
MQQ Browser 13.2,513,414,756.05,1.473781676,1,6325
Opera 73.0,385,154,749.99,1.948025974,1,3015
MIUI Browser 12.4,31275,23596,748.28,0.023925819,1,51469
Microsoft Edge 87.0,2796,2101,746.96,0.267153076,1,37651
Amazon Silk 110.3,392,301,746.12,1.903367347,2,1510
Opera Mobile 75.0,719,525,707.07,0.98340751,1,3455
Opera 12.14,63,53,704.46,11.18190476,1,546
Chrome Mobile 105,28,20,699.99,24.99964286,1,234
Opera Mobile 72.4,277,192,699.33,2.52465704,1,1069
MIUI Browser 12.15,1759,1124,683.33,0.388476407,1,3502
Opera Touch 3.2,1151,1041,678.99,0.589913119,1,2877
Chrome Mobile 66.0,10814,7685,663.26,0.061333457,2,135176
Amazon Silk 102.2,58,45,663.22,11.43482759,1,407
VivoBrowser 10.2,2733,2534,662.79,0.242513721,1,5588
Edge 115.0,416,278,649.99,1.562475962,1,5201
Opera 85.0,1211,666,647.81,0.534938068,3,10772
Sleipnir 3.6,63,23,634.22,10.06698413,1,520
MIUI Browser 12.13,2107,1520,629.72,0.298870432,4,6188
Chrome 347.0,8,3,628,78.5,1,96
MQQ Browser 6.2,8098,6949,626.44,0.077357372,1,33291
Mozilla Firefox 35.0,1494,1443,622.52,0.416680054,1,6168
Sleipnir 4.8,359,204,598.52,1.66718663,1,4070
Google Chrome 67.0,4896,4136,579.99,0.11846201,1,58443
Safari 13.5,826,657,577.96,0.699709443,3,1863
Opera Mobile 67.1,6439,4782,561.81,0.087251126,1,28172
MIUI Browser 11.5,65,54,552.18,8.495076923,2,740
Firefox 38.1,175,147,550.99,3.148514286,1,661
Whale 2.8,1257,829,531.35,0.422712808,1,7277
Opera 87.0,272,179,529.99,1.948492647,1,2517
Sleipnir 3.5,97,34,508.57,5.242989691,1,1151
Firefox 98.2,133,110,507.45,3.815413534,1,453
MIUI Browser 13.11,685,394,504.96,0.737167883,1,1772
Amazon Silk 104.3,350,320,499.99,1.428542857,1,853
Amazon Silk 88.4,11,11,479.98,43.63454545,2,295
Samsung Browser 1.1,67,53,471.14,7.031940299,1,1342
Safari 15.4.1,13,6,470.08,36.16,1,246
Mozilla Firefox 67.0,1188,931,462.01,0.388897306,1,11631
MIUI Browser 13.3,614,220,452.73,0.737345277,1,3133
Waterfox 56.6,1052,456,449.99,0.427747148,1,9051
MIUI Browser 12.20,38,28,442.96,11.65684211,1,126
Opera Mobile 64.0,620,413,423.31,0.682758065,1,2729
Chrome Mobile 60.0,1184,989,419.2,0.354054054,3,7537
MIUI Browser 12.10,2209,1596,418.32,0.189370756,2,5761
Mozilla Firefox 41.0,1450,1348,414.8,0.286068966,1,7253
Firefox 98.1,83,77,411.66,4.959759036,1,187
VivoBrowser 9.7,6149,5544,406.67,0.066135957,1,17005
MIUI Browser 12.18,392,243,388.4,0.990816327,1,1159
Amazon Silk 106.3,404,310,379.99,0.940569307,1,2358
Mozilla Firefox 66.0,2687,2261,378.32,0.140796427,3,19723
Firefox 105,101,96,368.03,3.643861386,3,488
Chromium,14,8,365.4,26.1,1,128
Amazon Silk 93.3,25,15,349.99,13.9996,1,163
Firefox 40.1,89,66,349.87,3.931123596,1,330
Mozilla Firefox 46.0,11149,11089,312.96,0.028070679,2,17365
Firefox 32.1,73,64,309.7,4.242465753,1,178
Opera Mobile 72.7,339,244,295.78,0.872507375,1,1318
Samsung Browser 12.0,977,655,289.75,0.296571136,2,2316
Mozilla Firefox 51.0,10321,10058,282.84,0.027404321,1,19391
Opera Mobile 72.3,2222,1645,238.03,0.107124212,1,8018
Microsoft Edge 16,3340,2774,225,0.067365269,1,24373
Mozilla Firefox 53.0,10283,10216,219.99,0.021393562,1,19039
Opera GX 95,2,2,219.99,109.995,1,28
Internet Explorer 10.0,6042,4247,218,0.036080768,1,10518
Waterfox 91.11,23,17,199.99,8.695217391,1,323
Firefox 108,7094,7087,199,0.028051875,1,9444
Opera GX 1.8,993,710,189.99,0.191329305,1,4226
MIUI Browser 17.6,2493,1659,185.99,0.074604894,1,19727
Chrome 109.4,1,1,184.94,184.94,1,17
Firefox Focus 5.2,7,6,179.99,25.71285714,1,65
Chrome 111.2,9,8,170.48,18.94222222,1,260
HeyTap Browser 25.9,4976,4354,168,0.033762058,1,9989
Edge 46.1,139,88,168,1.208633094,1,588
Samsung Browser 21.0,1629,906,155.3,0.095334561,3,10268
Opera Touch 3.4,662,455,149.99,0.226570997,1,3198
Puffin 9.9,780,488,122.08,0.156512821,1,2349
Aloha Browser 4.2,171,171,117,0.684210526,2,321
Opera 62,41,37,115.98,2.828780488,1,305
Mozilla Firefox 64.0,1181,1086,109.99,0.093132938,1,10411
Opera Mobile 69.0,5806,4367,105.97,0.018251808,1,23807
Edge 46.2,182,139,99.99,0.549395604,1,771
Microsoft Edge 13,2673,2248,99,0.037037037,1,32013
Amazon Silk 102.4,1465,1432,99,0.067576792,1,2347
Opera 75.0,129,79,99,0.76744186,1,1409
Amazon Silk 75.3,6,5,99,16.5,1,58
Safari 11.2,50,50,74.99,1.4998,1,231
Opera Mobile 71.1,11,9,72.68,6.607272727,1,56
Edge 16.16299,7299,5857,69.99,0.009588985,1,50938
Chrome Mobile 33.0,993,951,69.99,0.070483384,1,1984
Opera 88.0,272,150,56.53,0.207830882,2,2875
Firefox 110.8,10,10,55.48,5.548,1,107
MIUI Browser 17.0,1768,955,55.17,0.031204751,1,14683
Mozilla Firefox 54.0,11691,11587,48,0.004105722,1,28132
Amazon Silk 98.2,23,17,47.99,2.086521739,1,291
Mozilla Firefox 71.0,2342,2230,39.99,0.017075149,1,11259
Chrome 98.3,54,41,38.05,0.70462963,1,463
Samsung Browser 12.1,26840,24988,33.72,0.001256334,1,39981
MIUI Browser 12.9,1215,966,33.72,0.027753086,1,2388
SeaMonkey 2.53,946,506,33.24,0.035137421,1,7758
Firefox 110.3,9,9,32.99,3.665555556,1,107
Opera 82.0,669,415,31.37,0.046890882,1,7150
Samsung Browser 11.2,1825,1147,30.68,0.016810959,1,4614
VivoBrowser 9.8,13616,12076,24.25,0.001780993,1,34628
Opera 60.0,208,193,22.49,0.108125,1,1064
Samsung Browser 19.1,2088,1053,20.09,0.009621648,1,16839
Chrome Mobile 47.0,575,455,19.79,0.034417391,1,2461
Opera Mobile 68.0,3317,2513,19.06,0.005746156,1,14676
Edge 18.22621,319009,316293,0,0,0,431874
Edge 18.19045,141444,140375,0,0,0,188098
Samsung Browser 7.2,63234,29377,0,0,0,108689
Edge 18.19044,58641,58148,0,0,0,78438
Internet Explorer 7.0,35772,8552,0,0,0,150851
Edge 18.22000,28313,28091,0,0,0,38770
Opera 63.0,27842,27820,0,0,0,44176
Microsoft Office 16,26854,12082,0,0,0,168256
Google Chrome 61.0,24773,24436,0,0,0,47483
MIUI Browser 10.9,15080,12534,0,0,0,22553
Firefox Focus 7.0,12714,12619,0,0,0,15122
Chrome Mobile 61.0,12283,11531,0,0,0,30227
HeyTap Browser 15.9,11303,9959,0,0,0,22002
Mozilla Firefox 50.0,11021,10629,0,0,0,22961
Mozilla Firefox 49.0,10752,10515,0,0,0,19346
Chrome Mobile 56.0,10610,9068,0,0,0,24098
Chrome Mobile 51.0,10003,9397,0,0,0,17389
Google Chrome 68.0,9954,7226,0,0,0,56737
Firefox 11.0,9617,830,0,0,0,12088
Edge 18.19041,9329,8372,0,0,0,65500
Mozilla Firefox 55.0,9324,9140,0,0,0,15035
Google Chrome 66.0,8920,6251,0,0,0,48672
Mobile Safari 3.0,8881,8880,0,0,0,9791
Quark 6.1,8605,5963,0,0,0,67398
MIUI Browser 11.9,7670,6454,0,0,0,9987
VivoBrowser 9.6,7526,6854,0,0,0,19626
Samsung Browser 8.2,7484,7300,0,0,0,9608
Google Chrome 55.0,7042,6287,0,0,0,70027
Chrome Mobile 50.0,6481,5083,0,0,0,14727
Edge 12.10240,6462,5482,0,0,0,68613
Chrome Mobile 59.0,6192,5795,0,0,0,11974
Edge 14.14393,6074,5054,0,0,1,59418
Chrome Mobile 57.0,5631,5208,0,0,0,12487
VivoBrowser 5.9,5610,5116,0,0,0,16947
Google Chrome 64.0,5502,4952,0,0,0,48304
Google Chrome 41.0,5154,4107,0,0,0,92992
Netscape Navigator 4.0,5032,2025,0,0,0,11620
Samsung Browser 9.2,4916,2840,0,0,0,11705
Mozilla Firefox 57.0,4849,4458,0,0,0,24713
Edge 18.19042,4724,4673,0,0,0,6699
Google Chrome 59.0,4663,4246,0,0,0,39166
Chrome Mobile 62.0,4591,4056,0,0,0,19287
Samsung Browser 13.0,4409,2714,0,0,0,11534
Samsung Browser 4.2,4337,3488,0,0,0,6890
MIUI Browser 12.2,4112,3501,0,0,0,7326
Opera 10.00,4092,3848,0,0,0,6795
HeyTap Browser 7.5,4092,3508,0,0,0,5310
Opera 10.10,4067,3810,0,0,0,6700
Opera 11.50,4062,3855,0,0,0,6529
Opera 11.00,4044,3835,0,0,0,7514
Opera 10.54,4031,3796,0,0,0,6439
Opera 11.11,3964,3723,0,0,0,6408
Edge 18.22624,3915,3883,0,0,0,5276
Google Chrome 45.0,3822,3138,0,0,0,11714
Google Chrome 57.0,3775,3138,0,0,0,29164
Mozilla Firefox 45.0,3668,3268,0,0,0,14099
Edge 18.19043,3609,3534,0,0,0,6982
Chrome 37.0,3608,2818,0,0,0,51337
MIUI Browser 11.1,3360,2837,0,0,0,5213
Huawei Browser 11.0,3207,2334,0,0,0,12509
UC Browser 12.12,3174,2302,0,0,0,12266
Microsoft Edge 80.0,3154,2589,0,0,0,70050
Mozilla Firefox 11.0,3048,628,0,0,0,3670
Samsung Browser 9.0,3047,2263,0,0,0,6651
Microsoft Edge 14,3025,2577,0,0,0,30553
Google Chrome 60.0,2968,2522,0,0,0,60110
VivoBrowser 7.9,2924,2634,0,0,0,4757
VivoBrowser 13.6,2917,2044,0,0,0,20349
Opera Mobile 66.2,2884,2048,0,0,0,10572
Mozilla Firefox 58.0,2800,2664,0,0,0,13809
Google Chrome 48.0,2800,2582,0,0,0,19592
UC Browser 11.3,2792,2673,0,0,0,5297
Samsung Browser 11.1,2763,2019,0,0,0,5549
UC Browser 6.2,2742,1665,0,0,0,33462
MIUI Browser 10.1,2733,2239,0,0,0,4209
Chrome Mobile 54.0,2721,2187,0,0,0,8202
Android Browser 4.0,2712,2474,0,0,0,14266
MIUI Browser 13.8,2681,2554,0,0,0,9483
Opera Mobile 67.0,2667,2014,0,0,0,9895
VivoBrowser 9.3,2647,2446,0,0,0,5264
Internet Explorer 8.0,2589,1960,0,0,0,5581
VivoBrowser 13.7,2589,1866,0,0,0,19946
Google Chrome 40.0,2586,2400,0,0,0,16311
Chrome Mobile 67.0,2578,2045,0,0,0,11070
Chrome Mobile 58.0,2573,2267,0,0,0,10916
Opera 79.0,2517,1798,0,0,0,25358
VivoBrowser 6.9,2470,2312,0,0,0,4388
Chrome Mobile 63.0,2455,2160,0,0,0,16441
VivoBrowser 14.1,2455,1724,0,0,0,18649
Opera Mobile 63.3,2409,2185,0,0,0,4040
Chrome Mobile 52.0,2386,2179,0,0,0,6256
QQ Browser 10.8,2382,1723,0,0,0,44385
Mozilla Firefox 63.0,2180,2090,0,0,0,14063
VivoBrowser 14.0,2141,1531,0,0,0,16184
VivoBrowser 14.4,2134,1607,0,0,0,17374
Hi Browser 2.6,2132,536,0,0,0,6796
Microsoft Edge 15,2126,1767,0,0,0,15473
Mobile 360 Secure Browser,2126,1601,0,0,0,4546
Google Chrome 44.0,2120,1952,0,0,0,18356
Mozilla Firefox 61.0,2119,1893,0,0,0,17436
Opera Mobile 37.0,2019,1229,0,0,0,3265
Mozilla Firefox 44.0,1996,1899,0,0,0,9918
Whale 2.9,1991,1111,0,0,0,10082
VivoBrowser 13.9,1979,1451,0,0,0,13899
UCTurbo 1.10,1908,1002,0,0,0,7581
UC Browser,1905,1302,0,0,0,19648
MIUI Browser 11.6,1879,1587,0,0,0,2573
Internet Explorer 9.0,1814,1386,0,0,0,5902
VivoBrowser 13.8,1810,1407,0,0,0,12988
Java (unknown version),1806,1803,0,0,0,2221
Samsung Browser 4.0,1776,1423,0,0,0,5617
Internet Explorer Mobile 7.0,1755,1750,0,0,0,1948
UC Browser 15.4,1735,1182,0,0,0,16252
UC Browser 13.2,1720,1167,0,0,0,6208
Mozilla Firefox 42.0,1715,1683,0,0,0,5312
MIUI Browser 9.5,1711,1550,0,0,0,2666
Mozilla Firefox 40.0,1684,1583,0,0,0,8618
Chrome 35.0,1666,1291,0,0,0,41060
Safari 12.1.1,1627,1618,0,0,0,2892
Chrome Mobile 65.0,1572,1307,0,0,0,6929
HeyTap Browser 40.7,1572,1029,0,0,0,11931
Google Chrome 43.0,1533,1427,0,0,0,5871
HeyTap Browser 45.7,1518,1326,0,0,0,2785
Google Chrome 47.0,1495,1198,0,0,0,10854
Mozilla Firefox 70.0,1472,1108,0,0,0,17140
QQ Browser 11.2,1452,787,0,0,0,32654
Maxthon 5.3,1452,720,0,0,0,17839
Chrome 29.0,1450,1403,0,0,0,2472
Opera Mobile 44.6,1395,814,0,0,0,3342
VivoBrowser 14.6,1369,971,0,0,0,11951
Huawei Browser 10.0,1358,1025,0,0,0,2764
Opera Mobile 44.12,1299,882,0,0,0,2564
Firefox 4.0,1299,852,0,0,0,2453
QQ Browser 11.3,1286,577,0,0,0,22306
MIUI Browser 10.6,1277,1053,0,0,0,1665
Chrome Mobile 46.0,1274,1153,0,0,0,2740
UC Browser 13.3,1271,878,0,0,0,5809
Chrome Mobile 53.0,1266,1048,0,0,0,7002
Samsung Browser 5.2,1262,1158,0,0,0,4984
VivoBrowser 14.7,1229,936,0,0,0,10490
Google Chrome 50.0,1224,1043,0,0,0,7795
Chrome Mobile 30.0,1219,1084,0,0,0,6073
Realme Browser 35.5,1217,1122,0,0,0,2566
Samsung Browser 6.4,1208,889,0,0,0,2948
Mozilla Firefox 69.0,1202,894,0,0,0,15716
MIUI Browser 13.18,1193,701,0,0,0,3976
Phoenix 12.4,1174,993,0,0,0,4646
Samsung Browser 10.1,1173,787,0,0,0,2681
Chrome 36.0,1145,783,0,0,0,40082
MIUI Browser 12.11,1138,877,0,0,0,2708
Safari 13,1134,1133,0,0,0,1210
Google Chrome 53.0,1114,890,0,0,0,20950
Chrome 99,1100,1100,0,0,0,1957
VivoBrowser 9.0,1096,1019,0,0,0,2077
Internet Explorer Mobile 10.0,1086,1079,0,0,0,1506
VivoBrowser 8.9,1086,996,0,0,0,2681
Google Chrome 39.0,1085,1051,0,0,0,3808
Samsung Browser 10.2,1084,651,0,0,0,2654
Chrome Mobile 99,1082,1080,0,0,0,1924
Firefox 6.0,1079,1047,0,0,0,1764
MIUI Browser 17.2,1078,449,0,0,0,9649
Firefox 103.060185,1054,733,0,0,0,21342
Puffin 5.2,1043,879,0,0,0,2050
Hi Browser 2.7,1028,387,0,0,0,1864
Mobile Safari 7.0,1010,812,0,0,0,20525
VivoBrowser 7.12,1000,906,0,0,0,2441
Opera 64.0,965,725,0,0,0,11924
Chrome Mobile 49.0,955,708,0,0,0,2184
HeyTap Browser 15.8,935,842,0,0,0,1994
Opera 36.0,928,662,0,0,0,5360
Samsung Browser 9.4,908,673,0,0,0,2487
Chrome Mobile 39.0,890,837,0,0,0,1672
Opera Mobile 66.0,886,683,0,0,0,2874
Firefox 12.0,873,62,0,0,0,80613
MIUI Browser 9.7,866,722,0,0,0,1100
Chrome Mobile 108,854,710,0,0,0,5900
Edge 18.22623,844,832,0,0,0,1139
Quark 6.3,839,680,0,0,0,7382
CM Browser 44.0,829,589,0,0,0,4138
Opera Mobile 61.2,828,663,0,0,0,1845
Mint Browser 3.9,823,511,0,0,0,3265
Opera Mobile 72.2,817,570,0,0,0,3337
Quark 6.0,812,579,0,0,0,5302
VivoBrowser 8.4,810,775,0,0,0,1114
Google Chrome 5.0,808,806,0,0,0,2832
Google Chrome 54.0,807,635,0,0,0,20874
Opera Mobile 62.0,799,778,0,0,0,984
Google Chrome 42.0,794,782,0,0,0,4302
Chrome Mobile 112.0,794,521,0,0,0,5011
Mozilla Firefox 38.0,792,723,0,0,0,7922
Edge,791,783,0,0,0,1387
Chrome Mobile 45.0,791,740,0,0,0,3030
115 Browser 25.0,790,382,0,0,0,13667
Mobile Safari 4.0,788,743,0,0,0,16959
Microsoft Internet Explorer 10,785,669,0,0,0,4158
VivoBrowser 9.1,784,712,0,0,0,1537
Opera 83.0,781,516,0,0,0,4799
Edge 18.20348,771,767,0,0,0,1086
Google Chrome 46.0,768,700,0,0,1,9893
MIUI Browser 9.8,757,641,0,0,0,979
Opera Mobile 65.2,751,536,0,0,0,2825
Tizen Browser,750,670,0,0,0,3895
Samsung Browser 7.0,750,532,0,0,0,2333
Opera Mobile 63.0,749,596,0,0,0,2426
MIUI Browser 12.16,739,477,0,0,0,2720
MIUI Browser 16.0,738,423,0,0,0,5283
QQ Browser 10.9,736,348,0,0,0,12253
Internet Explorer Mobile 9.0,734,730,0,0,0,848
OPPO Browser 15.5,724,618,0,0,0,1456
Firefox,723,585,0,0,0,3603
Phoenix 12.2,722,612,0,0,0,3678
Opera Mini 8.0,716,712,0,0,0,992
Chrome Mobile 34.0,712,469,0,0,0,3527
UC Browser 13.1,703,489,0,0,0,2312
Opera Mobile 66.1,701,492,0,0,0,2508
Mobile Safari 6.0,685,651,0,0,0,15285
Amazon Silk 73.7,671,444,0,0,0,2825
MIUI Browser 13.2,662,417,0,0,0,1358
Mozilla Firefox 36.0,659,445,0,0,0,6071
Microsoft Internet Explorer 7.0,654,648,0,0,0,31133
Aloha Browser 3.2,643,641,0,0,0,963
Samsung Browser 3.0,634,533,0,0,0,2868
Mozilla (Gecko) (unknown version),633,575,0,0,0,1937
Mypal 68.12,619,465,0,0,0,6045
Yandex.Browser,610,334,0,0,0,2710
Samsung Browser 8.0,609,403,0,0,0,1750
Firefox 8.1,608,607,0,0,0,1076
MIUI Browser 11.4,604,510,0,0,0,1142
Chrome 34.0,603,411,0,0,0,20377
QQ Browser 10.6,603,235,0,0,0,8076
Samsung Browser 3.5,602,333,0,0,0,855
Android Browser 3.1,593,563,0,0,0,1599
TheWorld,582,516,0,0,0,4479
Coc Coc Browser,581,483,0,0,0,6882
Pale Moon 32.0,581,397,0,0,0,4351
UC Browser 13.9,581,360,0,0,0,3745
MQQ Browser 13.3,575,315,0,0,0,7046
MIUI Browser 12.8,574,367,0,0,0,1612
MIUI Browser 12.12,573,395,0,0,0,1362
Edge 12.0,563,554,0,0,0,1062
MIUI Browser,561,535,0,0,0,1387
HeyTap Browser 35.7,557,496,0,0,0,1204
Phoenix 12.3,557,495,0,0,0,1936
MQQ Browser 13.4,557,408,0,0,0,4848
QQ Browser 10.5,550,455,0,0,0,8290
Safari 12.0.2,542,537,0,0,0,939
Opera Mobile 58.2,542,408,0,0,0,1239
UC Browser 15.1,538,288,0,0,0,4621
Firefox 3.6,537,523,0,0,0,3110
Opera Mobile 60.0,533,413,0,0,0,2027
Safari 9.1,527,523,0,0,0,3391
Firefox 3.0,523,492,0,0,0,1203
Aloha Browser 3.4,521,521,0,0,0,782
NetFront 3.3,517,492,0,0,0,1522
Opera Mobile 73.0,516,346,0,0,0,1768
Samsung Browser 6.0,513,337,0,0,0,1068
Opera Mobile 62.5,510,406,0,0,0,1606
MIUI Browser 12.1,504,417,0,0,0,837
Phoenix 11.9,504,416,0,0,0,1873
Opera 84.0,498,293,0,0,0,3567
UC Browser 15.0,484,279,0,0,0,3770
MIUI Browser 17.1,481,266,0,0,0,3232
Chrome Mobile 42.0,480,422,0,0,0,1559
Opera 68.0,479,386,0,0,0,2271
Meizu Browser 2.2,471,292,0,0,0,655
Lynx (unknown version),469,466,0,0,0,850
Opera Mobile 65.1,468,352,0,0,0,1458
VivoBrowser 7.14,467,397,0,0,0,1138
HeyTap Browser 10.7,467,360,0,0,0,1813
MIUI Browser 12.7,463,350,0,0,0,998
Amazon Silk,462,373,0,0,0,2720
Opera 64,458,370,0,0,0,5962
Amazon Silk 114.3,457,457,0,0,0,530
Chrome 38.0,455,444,0,0,0,935
Opera Mobile 44.14,455,262,0,0,0,980
Samsung Browser 2.2,451,326,0,0,0,3291
Google Chrome 29.0,447,446,0,0,0,632
Edge 100.1185,442,442,0,0,0,465
MIUI Browser 15.5,439,266,0,0,0,3118
Quark 5.8,437,287,0,0,0,3028
QQ Browser 10.7,424,289,0,0,0,7158
VivoBrowser 12.0,422,254,0,0,0,3229
MIUI Browser 13.10,420,261,0,0,0,1112
Safari 10.1,419,376,0,0,0,3054
BlackBerry Browser,418,402,0,0,0,1239
UC Browser 7.0,417,344,0,0,0,3239
Internet Explorer Mobile 11.0,416,387,0,0,0,1428
Opera 62.0,407,387,0,0,0,1332
MIUI Browser 10.8,407,319,0,0,0,743
Microsoft Edge 79.0,406,323,0,0,0,7197
UC Browser 13.0,406,316,0,0,0,1190
Opera Mini 16.0,403,401,0,0,0,598
Chrome 33.0,400,387,0,0,0,1233
Opera Mobile 71.3,399,317,0,0,0,1427
LG webOS Browser,397,390,0,0,0,3148
MQQ Browser 12.1,393,286,0,0,0,3799
MIUI Browser 16.4,389,278,0,0,0,1897
Mobile Safari 5.1,387,331,0,0,0,10583
Edge 18.23440,380,374,0,0,0,533
MIUI Browser 12.5,377,320,0,0,0,1207
Firefox 9.0,369,366,0,0,0,647
QQ Browser 9.0,367,350,0,0,0,2979
Huawei Browser 10.1,367,265,0,0,0,1557
Chrome Mobile 4.0,366,329,0,0,0,929
Firefox 112.1,365,251,0,0,0,2334
Opera 36,364,287,0,0,0,2051
UC Browser 6.0,361,293,0,0,0,2321
Phoenix 12.5,360,306,0,0,0,953
VivoBrowser 12.7,360,260,0,0,0,2964
MIUI Browser 12.21,360,224,0,0,0,768
Microsoft Internet Explorer 8,358,350,0,0,0,11984
UC Browser 12.13,357,283,0,0,0,628
Firefox 2.0,356,324,0,0,0,2083
Opera 12.16,356,223,0,0,0,702
Edge 45.11,353,317,0,0,0,867
Samsung Browser 8.3,353,224,0,0,0,745
MIUI Browser 13.4,353,204,0,0,0,807
Aloha Browser 4.4,352,345,0,0,0,631
Samsung Browser 2.1,352,289,0,0,0,2648
AOL Browser,350,347,0,0,0,528
Maxthon 5.2,349,214,0,0,0,2388
VivoBrowser 5.7,347,325,0,0,0,726
Internet Explorer 6.0,347,317,0,0,0,1913
VivoBrowser 7.16,345,335,0,0,0,524
IceDragon 65.0,344,212,0,0,0,5024
Chrome 69.2,342,172,0,0,1,1848
MQQ Browser 26,341,341,0,0,0,448
Opera Mobile 70.3,337,268,0,0,0,1231
Microsoft Internet Explorer 6.0,336,314,0,0,0,52569
Firefox 104.2,336,244,0,0,0,1361
Opera Mini 4.4,334,317,0,0,0,603
Opera 12.00,333,200,0,0,0,655
MIUI Browser 13.5,333,193,0,0,0,953
VivoBrowser 7.1,332,331,0,0,0,359
Edge 18.23403,332,329,0,0,0,473
MIUI Browser 12.24,329,202,0,0,0,805
VivoBrowser 7.15,328,299,0,0,0,765
Mozilla Firefox 3.6,327,325,0,0,0,11774
Edge 18.25314,322,318,0,0,0,437
Amazon Silk 4.0,322,317,0,0,0,443
Seznam Browser 9.3,321,159,0,0,0,1321
MIUI Browser 14.6,317,177,0,0,0,2536
Samsung Browser 6.2,316,271,0,0,0,2115
Samsung Browser 3.3,313,252,0,0,0,759
Chrome 30.0,312,307,0,0,0,780
Samsung Browser 2.0,312,258,0,0,0,856
Opera Mobile 69.3,312,240,0,0,0,781
Chrome 4.0,311,299,0,0,0,2729
UC Browser 12.5,311,288,0,0,0,657
Opera 73,311,156,0,0,0,2423
Whale 2.3,310,242,0,0,0,986
Quark 5.6,310,177,0,0,0,1890
Opera 74.3,309,223,0,0,0,1878
Netscape Navigator 2.0,309,209,0,0,0,1476
MIUI Browser 15.9,307,207,0,0,0,2151
Opera Touch 3.1,303,292,0,0,0,463
Aloha Browser 3.1,302,300,0,0,0,498
HeyTap Browser 10.8,301,251,0,0,0,1899
VivoBrowser 7.13,300,273,0,0,0,547
Quark 5.5,299,250,0,0,0,1414
Opera Mobile 64.2,297,201,0,0,0,1153
Chrome 31.0,296,286,0,0,0,625
Firefox 3.5,294,280,0,0,0,2181
Opera 77.0,293,139,0,0,0,2786
VivoBrowser 13.1,291,205,0,0,0,2084
Aloha Browser 4.3,290,280,0,0,0,585
Opera 67.0,289,269,0,0,0,1075
Opera Mobile 66.3,289,190,0,0,0,1377
MQQ Browser 13.0,288,134,0,0,0,3377
Aloha Browser 2.23,285,285,0,0,0,394
Quark 5.9,284,207,0,0,0,1763
UC Browser 13.7,281,204,0,0,0,1910
Opera Mobile 59.1,279,105,0,0,0,1356
UC Browser 12.9,278,214,0,0,0,742
Chrome 23.0,278,147,0,0,0,411
Vivaldi 4.3,277,241,0,0,0,321
Opera Mobile 65.0,277,230,0,0,0,984
Samsung Browser 5.4,276,202,0,0,0,951
MIUI Browser 9.6,273,214,0,0,0,411
Opera 81.0,273,131,0,0,0,1955
