Index,Taxonomy,Count,DataProvider,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6
133,"14007/Neustar AdAdvisor - Individual Age Group/,3033404/Age Group --> 45-54 --> 54-55/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 45-54 --, 54-55,,
134,"25752/180byTwo_DataDirectory/,44581260/180byTwo from Anteriad > B2B Intent > Technology > Virtualization > Server Virtualization/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B Intent , Technology , Virtualization , Server Virtualization
135,"25752/180byTwo_DataDirectory/,30867625/180byTwo from Anteriad > B2B > Functional Area > Middle Management > Business Development Managers/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Functional Area , Middle Management , Business Development Managers
136,"29406/AnalyticsIQ Taxonomy/,14849332/AnalyticsIQ > Seasonal > Back To School > College Students/",1,analyticsiq,AnalyticsIQ Taxonomy,AnalyticsIQ , Seasonal , Back To School , College Students,
137,"36/Datonics Segments/,45167709/Electronics > Computers > Dell/",1,,Datonics Segments,Electronics , Computers , Dell,,
138,"25752/180byTwo_DataDirectory/,30867656/180byTwo from Anteriad > B2B > Functional Area > Sales & Business Development > Business Development/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Functional Area , Sales & Business Development , Business Development
139,"33271/Adstra Data Directory Taxonomy/,12816299/B2B_100055/",1,,Adstra Data Directory Taxonomy,B2B_100055,,,,
140,"30646/Clickagy Data Directory/,20946444/In-Market > Electronics > Computers > Laptops/",1,clickagy,Clickagy Data Directory,In-Market , Electronics , Computers , Laptops,
141,"25752/180byTwo_DataDirectory/,45495713/180byTwo from Anteriad > B2B > Decision Makers > Business Development Decision Makers/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Decision Makers , Business Development Decision Makers,
142,"26303/Alliant DD Taxonomy/,4931890/Alliant Loyal Super Spenders/",1,,Alliant DD Taxonomy,Alliant Loyal Super Spenders,,,,
143,"25752/180byTwo_DataDirectory/,44581179/180byTwo from Anteriad > B2B Intent > Technology > It Management > Software Development Outsourcing/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B Intent , Technology , It Management , Software Development Outsourcing
144,"22976/Media Source Solutions/,6808774/Media Source Solutions > Consumer > Interests > Electronics & Gadgets > Known Video Games Enthusiasts/",1,,Media Source Solutions,Media Source Solutions , Consumer , Interests , Electronics & Gadgets , Known Video Games Enthusiasts
145,"23985/33Across Taxonomy/,9000051/Sports Gaming Fanatics/",1,33across,33Across Taxonomy,Sports Gaming Fanatics,,,,
146,"29406/AnalyticsIQ Taxonomy/,40446519/AnalyticsIQ > Social Distancing > Adjusting to Life at Home > Video Games > Casual Gamers Playing More Than Usual/",1,analyticsiq,AnalyticsIQ Taxonomy,AnalyticsIQ , Social Distancing , Adjusting to Life at Home , Video Games , Casual Gamers Playing More Than Usual
147,"26790/Gravy - New Data Directory/,32667840/eSports Enthusiast/",1,,Gravy - New Data Directory,eSports Enthusiast,,,,
148,"33962/Start.io Data Taxonomy/,41557785/eSports Gamers/",1,,Start.io Data Taxonomy,eSports Gamers,,,,
149,"37656/Clickagy Public Taxonomy/,20946483/In-Market > Entertainment > eSports/",1,clickagy,Clickagy Public Taxonomy,In-Market , Entertainment , eSports,,
150,"23985/33Across Taxonomy/,9000021/Small Business Business Services/",1,33across,33Across Taxonomy,Small Business Business Services,,,,
151,"25752/180byTwo_DataDirectory/,44581221/180byTwo from Anteriad > B2B Intent > Technology > Servers > Server Automation/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B Intent , Technology , Servers , Server Automation
152,"14007/Neustar AdAdvisor - Individual Age Group/,3033420/Age Group --> 35-44 --> 38-39/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 35-44 --, 38-39,,
153,"25752/180byTwo_DataDirectory/,30867379/180byTwo from Anteriad > Auto > In Market/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , Auto , In Market,,
154,"14007/Neustar AdAdvisor - Individual Age Group/,3033422/Age Group --> 35-44 --> 36-37/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 35-44 --, 36-37,,
155,"14007/Neustar AdAdvisor - Individual Age Group/,3033424/Age Group --> 30-34 --> 34-35/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 30-34 --, 34-35,,
156,"14007/Neustar AdAdvisor - Individual Age Group/,3033430/Age Group --> 25-29 --> 28-29/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 25-29 --, 28-29,,
157,"14007/Neustar AdAdvisor - Individual Age Group/,3033432/Age Group --> 25-29 --> 26-27/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 25-29 --, 26-27,,
158,"14007/Neustar AdAdvisor - Individual Age Group/,3033434/Age Group --> 21-24 --> 24-25/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 21-24 --, 24-25,,
159,"14007/Neustar AdAdvisor - Individual Age Group/,3033436/Age Group --> 21-24 --> 22-23/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 21-24 --, 22-23,,
160,"14007/Neustar AdAdvisor - Individual Age Group/,3033438/Age Group --> 18-20 --> 20-21/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,Age Group --, 18-20 --, 20-21,,
161,"33282/Neustar AdAdvisor Identity Planner Audiences - Demographic/,4947168/30-34/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Demographic,30-34,,,,
162,"33282/Neustar AdAdvisor Identity Planner Audiences - Demographic/,4947170/40-44/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Demographic,40-44,,,,
163,"12894/Neustar AdAdvisor Consumer Audiences/,2996467/Education > Highest Level of Education for Head of Household > Edu: Some College/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Education , Highest Level of Education for Head of Household , Edu: Some College,,
164,"12894/Neustar AdAdvisor Consumer Audiences/,6920108/Print Media > Magazines > Read Parents Last 6 Month/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Print Media , Magazines , Read Parents Last 6 Month,,
165,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4948832/Read Parents Last 6 Month/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Read Parents Last 6 Month,,,,
166,"12894/Neustar AdAdvisor Consumer Audiences/,40502966/Lifestyle Statements > Likely to Buy From Company Donating to Charity/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Lifestyle Statements , Likely to Buy From Company Donating to Charity,,,
167,"12894/Neustar AdAdvisor Consumer Audiences/,40503232/Lifestyle Statements > Shopping > I am more Likely to Buy from a Company that Donates to Charity/",1,adadvisor,Neustar AdAdvisor Consumer Audiences,Lifestyle Statements , Shopping , I am more Likely to Buy from a Company that Donates to Charity,,
168,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947819/HH Owns Portable Generator/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,HH Owns Portable Generator,,,,
169,"12160/Neustar AdAdvisor - Business/,2965274/SOHO 25- Small Office Or Home Office Businesses/",1,adadvisor,Neustar AdAdvisor - Business,SOHO 25- Small Office Or Home Office Businesses,,,,
